Week,Week Ending,Avg Submission Time (sec),Miscategorization Rate (%),Group Booking Conversion (%),Policy Violation Rate (%),CSAT (1-5),Support Tickets,OCR Accuracy (%),Approval Time (days),Mobile Share (%),Active Travelers
1,2026-01-05,278,24.1,41,9.2,3.9,380,72,2.8,33,18420
2,2026-01-12,275,24.3,40,9.0,3.9,375,72,2.7,33,18650
3,2026-01-19,271,23.8,42,8.9,4.0,368,73,2.7,34,18790
4,2026-01-26,270,23.5,41,8.8,4.0,362,73,2.6,34,18920
5,2026-02-02,268,23.2,43,8.7,4.0,358,74,2.6,34,19100
6,2026-02-09,265,23.0,42,8.6,4.0,355,74,2.5,35,19250
7,2026-02-16,263,22.8,44,8.5,4.0,350,75,2.5,35,19400
8,2026-02-23,260,22.5,43,8.5,4.1,348,76,2.4,35,19580
9,2026-03-02,258,22.7,42,8.4,4.0,352,77,2.4,36,19750
10,2026-03-09,255,23.1,43,8.4,4.1,345,78,2.4,36,19900
11,2026-03-16,253,23.0,41,8.4,4.1,340,80,2.3,37,20050
12,2026-03-23,252,23.0,64,8.4,4.1,342,81,2.3,38,20200
