Key,Summary,Status,Assignee,Priority,Sprint,Story Points,Labels,Created,Updated,Description
SPEND-142,Smart Expense Categorization — ML model integration,In Progress,Nurdan Fatoglu,High,Sprint 24,8,"ai,expenses,q2-priority",2026-03-03,2026-03-24,"Integrate the ML categorization model into the expense submission flow. When a user submits a receipt, the system should auto-suggest a category with a confidence score. Users can accept or override. Override data feeds back into model training. Depends on SPEND-148 for receipt OCR improvements."
SPEND-148,Receipt OCR accuracy improvements,In Review,Tomas Berger,High,Sprint 24,5,"ai,expenses",2026-03-05,2026-03-23,"Improve OCR extraction for merchant name, amount, currency, and date. Current accuracy is 74% — target is 90%+ before we can ship auto-categorization. Focus on multi-currency receipts and handwritten amounts."
SPEND-143,Auto-categorization confidence threshold tuning,To Do,Nurdan Fatoglu,Medium,Sprint 25,3,"ai,expenses",2026-03-10,2026-03-10,"Define and implement confidence thresholds: above 85% = auto-apply, 60-85% = suggest with confirmation, below 60% = manual entry. Needs UX review with Marina."
SPEND-118,Group Booking Flow v2,Done,Alex Walker,High,Sprint 23,13,"bookings,group-travel,shipped",2026-02-10,2026-03-18,"Complete redesign of the group booking experience. New flow: organizer creates trip → invites travelers → each traveler selects preferences → system finds optimal bundle. Shipped to 100% on March 18."
SPEND-119,Group Booking — post-launch metrics dashboard,In Progress,Agustina Di Clemente,Medium,Sprint 24,3,"bookings,group-travel,analytics",2026-03-19,2026-03-24,"Build internal dashboard tracking: group booking conversion rate, avg group size, time to complete booking, traveler satisfaction. Pull from Amplitude + backend events."
SPEND-120,Group Booking — edge case: mixed cabin class preferences,To Do,Alex Walker,Low,Sprint 25,2,"bookings,group-travel",2026-03-20,2026-03-20,"When travelers in a group select different cabin classes, the bundling logic breaks. Need to handle mixed-class groups gracefully. Low volume but causes support tickets."
SPEND-155,Policy Engine v2 — configurable spend rules,Blocked,Neil Rogers,High,Sprint 24,8,"policy,spend-control,q2-priority",2026-03-01,2026-03-24,"Allow admins to create custom spend rules: per-trip caps, category restrictions, approval chains by amount threshold. BLOCKED: waiting on Payments API v3 endpoint for real-time balance checks. ETA from Payments team: April 4."
SPEND-156,Policy Engine v2 — rule builder UI,In Progress,Marina Rybalko,Medium,Sprint 24,5,"policy,spend-control,design",2026-03-08,2026-03-22,"Design and build the rule configuration UI. Admin selects conditions (amount, category, traveler group) and actions (auto-approve, require approval, block). Marina has Figma mocks ready — eng build started."
SPEND-157,Policy Engine v2 — approval chain notifications,To Do,Mauro Spadaro,Medium,Sprint 25,3,"policy,spend-control",2026-03-15,2026-03-15,"When a spend rule triggers an approval requirement, notify the right approver via email and Slack. Include expense details, policy rule that triggered, and one-click approve/reject."
SPEND-160,Expense report PDF export — formatting fixes,Done,Lydia Foster,Low,Sprint 24,2,"expenses,bug",2026-03-12,2026-03-21,"Currency symbols were rendering incorrectly in PDF exports for GBP and EUR. Fixed. Also improved table alignment for multi-line item descriptions."
SPEND-161,Slack bot — weekly spend summary for managers,In Progress,Tudor Tise,Medium,Sprint 24,5,"spend-control,slack-integration",2026-03-10,2026-03-24,"Bot posts a weekly summary to #finance-leads every Monday: total spend by category, biggest line items, policy violations flagged. Tudor working on the formatting and opt-in preferences."
SPEND-162,Mobile app — receipt capture camera improvements,In Progress,Tomas Berger,Medium,Sprint 24,3,"mobile,expenses",2026-03-14,2026-03-23,"Camera overlay guidelines for receipt capture. Auto-crop and perspective correction. Feeds into SPEND-148 OCR pipeline."
